annotation_id,source_file,pdf_page,decision,checks,reviewer_id,review_date,note
广汽集团-2022-scope_2_emissions,广汽集团2024年ESG报告.pdf,131,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
广汽集团-2023-scope_1_emissions,广汽集团2024年ESG报告.pdf,131,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
广汽集团-2023-scope_2_emissions,广汽集团2024年ESG报告.pdf,131,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
广汽集团-2024-scope_1_emissions,广汽集团2024年ESG报告.pdf,131,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
广汽集团-2024-scope_2_emissions,广汽集团2024年ESG报告.pdf,131,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
赛力斯-2022-scope_1_emissions,赛力斯2023年ESG报告.pdf,56,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
赛力斯-2022-scope_2_emissions,赛力斯2023年ESG报告.pdf,56,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
赛力斯-2023-scope_1_emissions,赛力斯2023年ESG报告.pdf,56,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
赛力斯-2023-scope_2_emissions,赛力斯2023年ESG报告.pdf,56,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
赛力斯-2024-scope_1_emissions,赛力斯2024年ESG报告.pdf,60,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
赛力斯-2024-scope_2_emissions,赛力斯2024年ESG报告.pdf,60,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长安汽车-2022-scope_1_emissions,长安汽车2024年ESG报告.pdf,27,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长安汽车-2022-scope_2_emissions,长安汽车2024年ESG报告.pdf,27,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长安汽车-2023-scope_1_emissions,长安汽车2024年ESG报告.pdf,27,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长安汽车-2023-scope_2_emissions,长安汽车2024年ESG报告.pdf,27,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长安汽车-2024-scope_1_emissions,长安汽车2024年ESG报告.pdf,27,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长安汽车-2024-scope_2_emissions,长安汽车2024年ESG报告.pdf,27,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
宁德时代-2022-scope_1_emissions,宁德时代2024年ESG报告.pdf,121,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
宁德时代-2022-scope_2_emissions,宁德时代2024年ESG报告.pdf,121,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
宁德时代-2023-scope_1_emissions,宁德时代2024年ESG报告.pdf,121,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
宁德时代-2023-scope_2_emissions,宁德时代2024年ESG报告.pdf,121,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
宁德时代-2024-scope_1_emissions,宁德时代2024年ESG报告.pdf,121,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
宁德时代-2024-scope_2_emissions,宁德时代2024年ESG报告.pdf,121,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
亿纬锂能-2023-scope_1_emissions,亿纬锂能2024年ESG报告.pdf,62,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
亿纬锂能-2023-scope_2_emissions,亿纬锂能2024年ESG报告.pdf,62,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
亿纬锂能-2024-scope_1_emissions,亿纬锂能2024年ESG报告.pdf,62,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
亿纬锂能-2024-scope_2_emissions,亿纬锂能2024年ESG报告.pdf,62,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
上汽集团-2023-scope_1_emissions,上汽集团2023年ESG报告.pdf,43,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
上汽集团-2023-scope_2_emissions,上汽集团2023年ESG报告.pdf,43,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
上汽集团-2024-scope_1_emissions,上汽集团2024年ESG报告.pdf,51,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
上汽集团-2024-scope_2_emissions,上汽集团2024年ESG报告.pdf,51,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
国轩高科-2022-scope_1_emissions,国轩高科2022年ESG报告.pdf,32,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
国轩高科-2022-scope_2_emissions,国轩高科2022年ESG报告.pdf,32,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
国轩高科-2024-scope_1_emissions,国轩高科2024年ESG报告.pdf,40,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
国轩高科-2024-scope_2_emissions,国轩高科2024年ESG报告.pdf,40,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
华友钴业-2023-scope_1_emissions,华友钴业2024年ESG报告.pdf,74,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
华友钴业-2023-scope_2_emissions,华友钴业2024年ESG报告.pdf,74,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
华友钴业-2024-scope_1_emissions,华友钴业2024年ESG报告.pdf,74,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
华友钴业-2024-scope_2_emissions,华友钴业2024年ESG报告.pdf,74,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
比亚迪-2024-scope_3_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
工商银行-2022-green_finance_balance,工商银行2022年ESG报告.pdf,10,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
工商银行-2023-green_finance_balance,工商银行2023年ESG报告.pdf,58,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
工商银行-2024-green_finance_balance,工商银行2024年ESG报告.pdf,82,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
