annotation_id,company_name,year,metric_key,normalized_value,normalized_unit,source_file,pdf_page,organizational_boundary,reporting_basis,reviewer_id,review_date,decision,corrected_value,corrected_page,boundary_agreement,review_notes
国轩高科-2022-scope_1_emissions,国轩高科,2022,scope_1_emissions,101449.27,tCO2e,国轩高科2022年ESG报告.pdf,32,selected subsidiaries listed in the 2022 carbon inventory,reported,,,,,,,
国轩高科-2022-scope_2_emissions,国轩高科,2022,scope_2_emissions,820454.89,tCO2e,国轩高科2022年ESG报告.pdf,32,selected subsidiaries listed in the 2022 carbon inventory,reported,,,,,,,
国轩高科-2024-scope_1_emissions,国轩高科,2024,scope_1_emissions,248513.0,tCO2e,国轩高科2024年ESG报告.pdf,40,all production bases and two research institutes,reported,,,,,,,
国轩高科-2024-scope_2_emissions,国轩高科,2024,scope_2_emissions,1634316.9,tCO2e,国轩高科2024年ESG报告.pdf,40,all production bases and two research institutes,reported,,,,,,,
华友钴业-2023-scope_1_emissions,华友钴业,2023,scope_1_emissions,598881,tCO2e,华友钴业2024年ESG报告.pdf,74,group operational control,latest_report_time_series,,,,,,,
华友钴业-2023-scope_2_emissions,华友钴业,2023,scope_2_emissions,1118281,tCO2e,华友钴业2024年ESG报告.pdf,74,group operational control,latest_report_time_series,,,,,,,
华友钴业-2024-scope_1_emissions,华友钴业,2024,scope_1_emissions,2992418,tCO2e,华友钴业2024年ESG报告.pdf,74,group operational control,latest_report_time_series,,,,,,,
华友钴业-2024-scope_2_emissions,华友钴业,2024,scope_2_emissions,3169805,tCO2e,华友钴业2024年ESG报告.pdf,74,group operational control,latest_report_time_series,,,,,,,
比亚迪-2024-scope_3_emissions,比亚迪,2024,scope_3_emissions,3166958.18,tCO2e,比亚迪2024年ESG报告.pdf,127,selected disclosed Scope 3 category: fuel- and energy-related activities,reported,,,,,,,
工商银行-2022-green_finance_balance,工商银行,2022,green_finance_balance,39784.58,亿元,工商银行2022年ESG报告.pdf,10,financial regulator green-loan balance definition,reported,,,,,,,
工商银行-2023-green_finance_balance,工商银行,2023,green_finance_balance,54000.0,亿元,工商银行2023年ESG报告.pdf,58,financial regulator green-loan balance definition,reported,,,,,,,
工商银行-2024-green_finance_balance,工商银行,2024,green_finance_balance,60000.0,亿元,工商银行2024年ESG报告.pdf,82,financial regulator green-loan balance definition,reported,,,,,,,
